2018-10-21 18:56:46,318 [INFO] {'unroll_length': 50, 'num_layers': 2, 'batch_norm': True, 'discount_factor': 0.97, 'opt_direction': 'max', 'num_epochs': 10000, 'log_period': 100, 'num_params': 82, 'reuse': False, 'learning_rate': 0.001, 'constraints': False, 'reaction_type': 'quad', 'optimizer': 'Adam', 'hidden_size': 128, 'log_path': './log/', 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'policy': 'srnn', 'batch_size': 128, 'instrument_error': None, 'evaluation_period': 1000, 'evaluation_epochs': 20, 'loss_type': 'oi', 'norm_cov': 0.3, 'num_steps': 50}
2018-10-21 18:57:11,755 [INFO] {'policy': 'srnn', 'num_layers': 2, 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'num_steps': 50, 'batch_size': 128, 'evaluation_epochs': 20, 'norm_cov': 0.3, 'instrument_error': None, 'opt_direction': 'max', 'optimizer': 'Adam', 'constraints': False, 'log_period': 100, 'num_epochs': 10000, 'discount_factor': 0.97, 'evaluation_period': 1000, 'hidden_size': 128, 'learning_rate': 0.001, 'reuse': False, 'loss_type': 'oi', 'unroll_length': 50, 'reaction_type': 'quad', 'num_params': 82, 'batch_norm': True, 'log_path': './log/'}
2018-10-21 18:58:37,230 [INFO] {'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'log_period': 100, 'learning_rate': 0.001, 'optimizer': 'Adam', 'opt_direction': 'max', 'instrument_error': None, 'num_params': 82, 'num_epochs': 10000, 'num_layers': 2, 'unroll_length': 50, 'batch_size': 128, 'reaction_type': 'quad', 'reuse': False, 'evaluation_period': 1000, 'hidden_size': 128, 'loss_type': 'oi', 'log_path': './log/', 'discount_factor': 0.97, 'policy': 'srnn', 'evaluation_epochs': 20, 'constraints': False, 'num_steps': 50, 'norm_cov': 0.3, 'batch_norm': False}
2018-10-21 18:58:39,081 [INFO] Reading model parameters from ./ckpt/8_dim_quad/h128_s50_srnn/-7999.
2018-10-21 18:58:39,081 [INFO] Restoring parameters from ./ckpt/8_dim_quad/h128_s50_srnn/-7999
2018-10-21 19:00:03,920 [INFO] {'learning_rate': 0.001, 'reuse': False, 'num_layers': 2, 'discount_factor': 0.97, 'hidden_size': 128, 'constraints': False, 'evaluation_period': 1000, 'evaluation_epochs': 20, 'num_epochs': 10000, 'norm_cov': 0.3, 'num_steps': 50, 'batch_norm': True, 'log_period': 100, 'loss_type': 'oi', 'opt_direction': 'max', 'num_params': 82, 'log_path': './log/', 'batch_size': 128, 'policy': 'srnn', 'optimizer': 'Adam', 'instrument_error': None, 'reaction_type': 'quad', 'unroll_length': 50, 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/'}
2018-10-21 19:00:27,490 [INFO] {'log_period': 100, 'optimizer': 'Adam', 'num_params': 82, 'hidden_size': 128, 'reaction_type': 'quad', 'policy': 'srnn', 'log_path': './log/', 'opt_direction': 'max', 'num_steps': 50, 'num_layers': 2, 'discount_factor': 0.97, 'loss_type': 'oi', 'instrument_error': None, 'norm_cov': 0.3, 'batch_norm': False, 'num_epochs': 10000, 'batch_size': 128, 'evaluation_epochs': 20, 'reuse': False, 'constraints': False, 'evaluation_period': 1000, 'save_path': './ckpt/8_dim_quad/h128_s50_srnn/', 'learning_rate': 0.001, 'unroll_length': 50}
2018-10-21 19:00:29,356 [INFO] Creating Model with fresh parameters.
2018-10-21 19:01:30,174 [INFO] Epoch 99, Mean Error: 3.599
2018-10-21 19:02:30,175 [INFO] Epoch 199, Mean Error: 0.361
2018-10-21 19:03:30,137 [INFO] Epoch 299, Mean Error: 0.060
2018-10-21 19:04:30,140 [INFO] Epoch 399, Mean Error: 0.002
2018-10-21 19:05:30,218 [INFO] Epoch 499, Mean Error: -0.016
2018-10-21 19:06:30,436 [INFO] Epoch 599, Mean Error: -0.020
2018-10-21 19:07:30,542 [INFO] Epoch 699, Mean Error: -0.030
2018-10-21 19:08:30,686 [INFO] Epoch 799, Mean Error: -0.034
2018-10-21 19:09:30,648 [INFO] Epoch 899, Mean Error: -0.040
2018-10-21 19:10:30,636 [INFO] Epoch 999, Mean Error: -0.043
2018-10-21 19:10:42,681 [INFO] EVALUATION, Mean Error: -0.046
2018-10-21 19:10:42,681 [INFO] Save current model ...
2018-10-21 19:11:43,022 [INFO] Epoch 1099, Mean Error: -0.048
2018-10-21 19:12:43,065 [INFO] Epoch 1199, Mean Error: -0.056
2018-10-21 19:13:43,208 [INFO] Epoch 1299, Mean Error: -0.058
2018-10-21 19:14:43,301 [INFO] Epoch 1399, Mean Error: -0.059
2018-10-21 19:15:43,367 [INFO] Epoch 1499, Mean Error: -0.065
2018-10-21 19:16:43,480 [INFO] Epoch 1599, Mean Error: -0.066
2018-10-21 19:17:43,811 [INFO] Epoch 1699, Mean Error: -0.070
2018-10-21 19:18:43,955 [INFO] Epoch 1799, Mean Error: -0.072
2018-10-21 19:19:44,092 [INFO] Epoch 1899, Mean Error: -0.075
2018-10-21 19:20:44,147 [INFO] Epoch 1999, Mean Error: -0.074
2018-10-21 19:20:56,158 [INFO] EVALUATION, Mean Error: -0.080
2018-10-21 19:20:56,159 [INFO] Save current model ...
2018-10-21 19:21:56,456 [INFO] Epoch 2099, Mean Error: -0.080
2018-10-21 19:22:56,770 [INFO] Epoch 2199, Mean Error: -0.079
2018-10-21 19:23:57,388 [INFO] Epoch 2299, Mean Error: -0.082
2018-10-21 19:24:57,660 [INFO] Epoch 2399, Mean Error: -0.085
2018-10-21 19:25:57,846 [INFO] Epoch 2499, Mean Error: -0.086
2018-10-21 19:26:58,118 [INFO] Epoch 2599, Mean Error: -0.085
2018-10-21 19:27:58,352 [INFO] Epoch 2699, Mean Error: -0.087
2018-10-21 19:28:58,559 [INFO] Epoch 2799, Mean Error: -0.088
2018-10-21 19:29:58,761 [INFO] Epoch 2899, Mean Error: -0.089
2018-10-21 19:30:58,900 [INFO] Epoch 2999, Mean Error: -0.091
2018-10-21 19:31:10,984 [INFO] EVALUATION, Mean Error: -0.092
2018-10-21 19:31:10,984 [INFO] Save current model ...
2018-10-21 19:32:11,360 [INFO] Epoch 3099, Mean Error: -0.091
2018-10-21 19:33:11,646 [INFO] Epoch 3199, Mean Error: -0.088
2018-10-21 19:34:11,863 [INFO] Epoch 3299, Mean Error: -0.093
2018-10-21 19:35:12,047 [INFO] Epoch 3399, Mean Error: -0.093
2018-10-21 19:36:12,279 [INFO] Epoch 3499, Mean Error: -0.096
2018-10-21 19:37:12,812 [INFO] Epoch 3599, Mean Error: -0.089
2018-10-21 19:38:13,265 [INFO] Epoch 3699, Mean Error: -0.093
2018-10-21 19:39:13,855 [INFO] Epoch 3799, Mean Error: -0.094
